Code,Sum
sdpgz3five4seven6fiveh,35
876mbxbrntsfm,86
fivek5mfzrdxfbn66nine8eight,58
554qdg,54
ninevsgxnine6threesix8,98
4fivehmg614five,45
three6sdnttwothree3,33
two26four2,22
586dntdbtmfourrjnjdzptcfrpr3,53
dgkclmseven8,78
onepeight8sqzkrvvn,18
ninednnsjeight5c9hkzkhrgzcz4,94
42pchdjlnsxr688pvlgsr,48
vmzkvb5six4fiveg2,52
517fourone7kthdrcxm,57
sevenfourjgtwocsqzfbsqvb9flrlzxpx,79
3jqdxrqqzhkgg2fourthree9four,34
qjgfbnqjeight4onejm84sevensix,86
pgvthree1six15nineoneone,31
56ninefivefhnmmh5fdqcvttpsjseven2,52
sixtrvj12twomq,62
2jmxzzm9xhxmndgbhjlblhsnine75,25
pckdqrp8pgnmkgv9onetwoxlk,82
73mrflhnfzfxjqrqznj2,72
tfourninegnjhhdzsix6sevenfive,45
35zrgthreetwonesz,31
9fivebstlx42,92
6threenine,69
threebscrccrt94four3gvqdkdtjphmnmmf2,32
3seventwo3jmzxfmcnvjbnsgbgktwo,32
vhljqhzpbtxcssix3dbvttwo,62
4ninefour6sixpccqltcpvh,46
5fourthreejngfour,54
33rgkkfiveeight4xq,34
sixklhpptnnk8qvgbdcn,68
3bdtsjdfbmv8eightseven9sixqgfcmfpcone,31
vhckknzlvcpfvttnmnk5zcvs1eightnine,59
qheightwophxbnlv5nine8bknvnkdbps,88
7eight3gccqdgrltpkpt,73
qvjqtqffvtp2six,26
eight5ntzknggp5,85
eightone6fourkf,84
vlksmsxsljlnhtwo3mrc3five,25
one2eight,18
bqnjmjsznc67tdvtpdt,67
8five57sixfive,85
one4zhhlncnbncvzrsbsslnh,14
nqdftnsevenonellvpsdhrnrtrdjhbqscpd78,78
1fivefourffm3eightlcssevenclsjtb,17
7mqqgglzqmpk415gcggplprone1,71
2jprlqkpb1sixhfbvzjrgsrpjzbhtgrhpfour2,22
9twotwoqlvkrkhjthree44shvjxkpjgzgphgprflvn,94
eightgsonefivefive2,82
7sixmpnbgtmzrdbfive41,71
tkrcfive2eight23four,54
vgbqvj5mjplnfdsqpfone2hpxz,52
kvl7onehdvvfdghbsngrgn,71
tlsbhjblnpdlrtfour6btjcfmgdvtfive,45
6qnfivehnt31qcpmnhx,61
onesnqrgxstfmzhtln5bnldmvlqzsh,15
fourgn5fourggbddjsj34zncxtmxxvsvs,44
4lnr6xjkpzdgvsevengplkjdjtns,47
hzfplpdt9,99
sf2twolj8,28
6zghkzbfdjctpfp1,61
eight65,85
tvzmxzstsixmkvjkjl6eightninefour,64
fivephplggzkmfivetjfourmvcpnjxfvg58eightwoc,52
1fivehpleightfivethree4,14
zeightwo8,88
1jfcztzr5sixoneshmlpgtwofour,14
3zksglknjmvqfqhfiveeight76onemldlltn,31
9four4vtg32srrbqfczmnxdchtbvc,92
csdb92sevenvsnxdbd,97
4sevenseven6,46
8two8rm3fkbsvphhdrznine,89
trp149zxzrkk,19
948two9ninenine,99
cbmfivetwoninekqbkhkddc3rlfxlfh,53
btvcshj4seven,47
964sjxonesixgcjxmtnine,99
nb83fivegxnvxxrstqnine,89
fgoneightljvnfour5gfsix4sevensixt,16
6one97,67
three3two3sixtwoeight,38
kxonesix59xtmbqd5,15
dfqfcbv5mjeight,58
nine2nqhrsvkvzzkkvnn6oneightlbq,98
eight8rztdlm,88
ttcfdskrxlqlggmgfourthree11two4eightwopgz,42
8seventwooneightfcj,88
bmt8nine,89
rjzkjlgone7four2cffkgq6eightccsmvxhkk,18
6qkdznvrcdltdgpn75vvmvf,65
tcjhrgtlsixjsrbxdnseven3hkd2pnklcmshsf,62
mzptwone7onethree4tzthree,23
1sixgnvzbhscjgcr1gxfzpm,11
15twoqzplbsmfcnznrgrnthreetwo4,14
six815eightbdrone5five,65
three9pp21h3hzzg,33
fivetwothreezdhthree2dggsdgfdrx,52
mrqpblvqvfour5zkvvfjjbr8plzkh,48
cnxdvg8,88
pzxeightwogxxmtgs6,86
zcddqkhkjlfive4onexkdggcbfbqzxhfxqnb6,56
3jqncxxjjz7,37
bcntgllhg4,44
9sixpbgnine,99
eightsevensixfive45861,81
qhrqsppdxdnseventwo3fiveeightfour,74
fiveeight9,59
qvbvjzbfzrtcsxdrsxlr1fourjtqckdjg3,13
sixfour728onethree,63
fjponeight728fourndlcrm,14
8fpbcvbone8ltzprklvgdcjhhsvq3,83
8sixhqmsixxqmclmgvhfive5,85
sevenvvc376ckfrjjjcn,76
5onelxvs,51
6eightjtfphvprone1ztrxq2,62
6789bnfjqg,69
zfrpr12two,12
8eight6jxmvxhchj,86
81fiveeightfourpxmdcfbqhf,84
hpxnskbgbjm9hqllklsxq6fivecvsxvpl,95
xjbtp57two5onefmkbzdtwo,52
five6fourhpk1twosix,56
sixxkqhckjdffmsjqgt4xjtgq,64
five9rxrzgk1,51
z2seven,27
six6nine16three,63
four66lzqjdpndp5four,44
2zzsdpx6vfckpgvlprx,26
kmlfslspdkxp4smpqkcrdpfn,44
seven7xqtszl3oneninetwo3,73
ninethreegrxg78lpgstkpvckngrbd,98
746eighttwo8two3five,75
one7nine2fourqctmjggsgtlvj8,18
sqdvmfrssz9rglsczgbdk6djnvb,96
