Game,Set,Result,RGB,Red,Green,Blue,Valid
1,1," 13 red, 18 green","[13, 18, 0]",13,18,0,False
2,1," 2 green, 3 blue, 5 red","[5, 2, 3]",5,2,3,True
3,1," 12 green, 3 red, 3 blue","[3, 12, 3]",3,12,3,True
4,1," 1 green, 2 blue","[0, 1, 2]",0,1,2,True
5,1," 6 blue, 4 green","[0, 4, 6]",0,4,6,True
6,1," 4 red, 4 blue, 2 green","[4, 2, 4]",4,2,4,True
7,1," 3 red, 12 green, 4 blue","[3, 12, 4]",3,12,4,True
8,1," 13 blue, 7 green, 8 red","[8, 7, 13]",8,7,13,True
9,1," 4 blue, 1 green, 4 red","[4, 1, 4]",4,1,4,True
10,1," 5 green, 1 red","[1, 5, 0]",1,5,0,True
11,1," 10 green, 2 blue, 2 red","[2, 10, 2]",2,10,2,True
12,1," 9 green, 2 blue","[0, 9, 2]",0,9,2,True
13,1," 11 blue, 3 red, 8 green","[3, 8, 11]",3,8,11,True
14,1," 17 blue, 2 red","[2, 0, 17]",2,0,17,False
15,1," 7 green, 2 blue, 3 red","[3, 7, 2]",3,7,2,True
16,1," 10 red, 19 blue, 5 green","[10, 5, 19]",10,5,19,False
17,1," 3 green, 3 red, 1 blue","[3, 3, 1]",3,3,1,True
18,1," 1 red, 2 blue","[1, 0, 2]",1,0,2,True
19,1," 3 blue, 5 red, 8 green","[5, 8, 3]",5,8,3,True
20,1," 16 blue, 2 green","[0, 2, 16]",0,2,16,False
21,1," 1 blue, 1 green, 14 red","[14, 1, 1]",14,1,1,False
22,1," 1 green, 10 red, 4 blue","[10, 1, 4]",10,1,4,True
23,1," 17 green, 3 red, 16 blue","[3, 17, 16]",3,17,16,False
24,1," 1 green, 1 blue","[0, 1, 1]",0,1,1,True
25,1," 11 red, 2 green","[11, 2, 0]",11,2,0,True
26,1," 2 green, 2 blue, 8 red","[8, 2, 2]",8,2,2,True
27,1," 5 red, 7 blue, 3 green","[5, 3, 7]",5,3,7,True
28,1," 17 red, 5 green, 10 blue","[17, 5, 10]",17,5,10,False
