Destination,Source,Length,Source End
1384411009,3878276792,140553103,4018829895
3206048776,3137400006,12882465,3150282471
2370337851,2414914902,179202838,2594117740
23738616,0,161914533,161914533
0,262282387,23738616,286021003
840681798,3768356904,109919888,3878276792
2340008493,3054171079,26130417,3080301496
1524964112,840681798,815044381,1655726179
3130048499,2668879895,76000277,2744880172
185653149,548908967,81490523,630399490
3465042209,3687267183,62255927,3749523110
367511526,286021003,262887964,548908967
3005762489,2744880172,124286010,2869166182
1025363841,2357768227,57146675,2414914902
2549540689,1901546427,456221800,2357768227
3218931241,4018829895,240309425,4259139320
1101344310,2869166182,185004897,3054171079
1286349207,1655726179,98061802,1753787981
2366138910,1753787981,4198941,1757986922
3459240666,4259139320,5801543,4264940863
950601686,2594117740,74762155,2668879895
3584396646,1757986922,143559505,1901546427
267143672,161914533,100367854,262282387
3527298136,3080301496,57098510,3137400006
1082510516,3749523110,18833794,3768356904
3727956151,3150282471,536984712,3687267183
