Destination,Source,Length,Source End
356025838,1142133666,189347695,1331481361
155231063,1824123064,78066821,1902189885
3486401291,3916497965,63138309,3979636274
3054537751,3004205340,53510430,3057715770
545373533,1910851890,39759630,1950611520
43898462,1414278470,16090003,1430368473
233297884,608643392,7876607,616519999
0,1051586050,43898462,1095484512
3108048181,3669777676,160948090,3830725766
3567273965,3979636274,194976344,4174612618
146569058,1902189885,8662005,1910851890
1423483364,1430368473,110560056,1540928529
2195994218,3468690397,201087279,3669777676
2497560353,2680093671,17356840,2697450511
2667148760,3057715770,80634162,3138349932
2747782922,2697450511,306754829,3004205340
585133163,1540928529,283194535,1824123064
1534043420,440260576,168382816,608643392
3762250309,2063919656,446944788,2510864444
3318335889,3300624995,168065402,3468690397
1308588274,1331481361,82797109,1414278470
74539638,616519999,1422739,617942738
2546794082,4174612618,120354678,4294967296
3268996271,3201674123,49339618,3251013741
2127243847,2611343300,68750371,2680093671
59988465,1095484512,14551173,1110035685
2397081497,2510864444,100478856,2611343300
1391385383,1110035685,32097981,1142133666
1702426236,1016254966,35331084,1051586050
3549539600,3282890630,17734365,3300624995
2063919656,3138349932,63324191,3201674123
1737757320,803400766,212854200,1016254966
2514917193,3251013741,31876889,3282890630
4209195097,3830725766,85772199,3916497965
1003769840,135442142,304818434,440260576
241174491,617942738,114851347,732794085
868327698,0,135442142,135442142
75962377,732794085,70606681,803400766
