Destination,Source,Length,Source End
974611207,822914672,41736646,864651318
1617020803,484683369,227984726,712668095
2936246728,1897199618,22236339,1919435957
1599589242,1541299272,17431561,1558730833
897092117,484593057,90312,484683369
2958483067,3614284126,70951194,3685235320
3636585470,2567424345,5451325,2572875670
0,2712467888,73845937,2786313825
2654331234,1997195625,281915494,2279111119
3241974258,3685235320,31499686,3716735006
3642036795,3512208003,74698211,3586906214
1092039278,1347003830,194295442,1541299272
790747225,1558730833,106344892,1665075725
897182429,42121154,77428778,119549932
1845005529,380881656,29170315,410051971
313046856,3156899567,355308436,3512208003
1952497963,410051971,74541086,484593057
3043555623,2369005710,198418635,2567424345
2040295599,119549932,261331724,380881656
3630375808,2279111119,6209662,2285320781
3383720521,1665075725,217219287,1882295012
2301627323,2670771541,41696347,2712467888
1515904313,2285320781,83684929,2369005710
73845937,1076160024,239200919,1315360943
2343323670,864651318,182031257,1046682575
2027039049,3601027576,13256550,3614284126
2622688347,1315360943,31642887,1347003830
2525354927,2572875670,19573752,2592449422
1286334720,1076118575,41449,1076160024
4007771416,3743620838,287195880,4030816718
668355292,0,42121154,42121154
1286376169,1882295012,14904606,1897199618
3600939808,1046682575,29436000,1076118575
2544928679,1919435957,77759668,1997195625
3273473944,712668095,110246577,822914672
3029434261,3586906214,14121362,3601027576
3743620838,4030816718,264150578,4294967296
710476446,2786313825,80270779,2866584604
1016347853,3081208142,75691425,3156899567
1874175844,2592449422,78322119,2670771541
1301280775,2866584604,214623538,3081208142
