Destination,Source,Length,Source End
3056037605,2829211160,523334807,3352545967
321779731,0,47068359,47068359
3924298564,3372771457,370668732,3743440189
1103457901,562085848,156691500,718777348
0,240306117,321779731,562085848
368848090,1020196358,239953043,1260149401
2829211160,3743440189,226826445,3970266634
608801133,718777348,301419010,1020196358
3579372412,3970266634,324700662,4294967296
3915140668,3363613561,9157896,3372771457
910220143,232146746,8159371,240306117
3904073074,3352545967,11067594,3363613561
918379514,47068359,185078387,232146746
