Seed,Input,Table,Output
1778931867,1778931867,seed-to-soil,2319911431
1778931867,2319911431,soil-to-fertilizer,1550494963
1778931867,1550494963,fertilizer-to-water,1474037451
1778931867,1474037451,water-to-light,2442003270
1778931867,2442003270,light-to-temperature,4140333923
1778931867,4140333923,temperature-to-humidity,3749439701
1778931867,3749439701,humidity-to-location,3527214727
1436999653,1436999653,seed-to-soil,856806968
1436999653,856806968,soil-to-fertilizer,1008503503
1436999653,1008503503,fertilizer-to-water,705519131
1436999653,705519131,water-to-light,1059650398
1436999653,1059650398,light-to-temperature,8064348
1436999653,8064348,temperature-to-humidity,329844079
1436999653,329844079,humidity-to-location,411334602
3684516104,3684516104,seed-to-soil,2970257118
3684516104,2970257118,soil-to-fertilizer,1404953289
3684516104,1404953289,fertilizer-to-water,1168313229
3684516104,1168313229,water-to-light,1577004895
3684516104,1577004895,light-to-temperature,621209529
3684516104,621209529,temperature-to-humidity,1162581582
3684516104,1162581582,humidity-to-location,1846863896
2759374,2759374,seed-to-soil,1790622757
2759374,1790622757,soil-to-fertilizer,3509267553
2759374,3509267553,fertilizer-to-water,4282464734
2759374,4282464734,water-to-light,4282464734
2759374,4282464734,light-to-temperature,2654646198
2759374,2654646198,temperature-to-humidity,2654646198
2759374,2654646198,humidity-to-location,1011130144
1192793053,1192793053,seed-to-soil,300106806
1192793053,300106806,soil-to-fertilizer,2220852473
1192793053,2220852473,fertilizer-to-water,2240569122
1192793053,2240569122,water-to-light,700766684
1192793053,700766684,light-to-temperature,323998437
1192793053,323998437,temperature-to-humidity,83692320
1192793053,83692320,humidity-to-location,107430936
358764985,358764985,seed-to-soil,1890593324
358764985,1890593324,soil-to-fertilizer,1294674481
358764985,1294674481,fertilizer-to-water,1058034421
358764985,1058034421,water-to-light,1466726087
358764985,1466726087,light-to-temperature,1459840978
358764985,1459840978,temperature-to-humidity,1459840978
358764985,1459840978,humidity-to-location,2144123292
1698790056,1698790056,seed-to-soil,2239769620
1698790056,2239769620,soil-to-fertilizer,2896905229
1698790056,2896905229,fertilizer-to-water,960393738
1698790056,960393738,water-to-light,1369085404
1698790056,1369085404,light-to-temperature,1346192317
1698790056,1346192317,temperature-to-humidity,1346192317
1698790056,1346192317,humidity-to-location,2030474631
76369598,76369598,seed-to-soil,641035495
76369598,641035495,soil-to-fertilizer,1773372929
76369598,1773372929,fertilizer-to-water,1696915417
76369598,1696915417,water-to-light,478028817
76369598,478028817,light-to-temperature,1571811661
76369598,1571811661,temperature-to-humidity,1571811661
76369598,1571811661,humidity-to-location,2256093975
3733854793,3733854793,seed-to-soil,3858979415
3733854793,3858979415,soil-to-fertilizer,4123129993
3733854793,4123129993,fertilizer-to-water,4032046578
3733854793,4032046578,water-to-light,3845705723
3733854793,3845705723,light-to-temperature,4224175054
3733854793,4224175054,temperature-to-humidity,3833280832
3733854793,3833280832,humidity-to-location,905605726
214008036,214008036,seed-to-soil,2503051003
214008036,2503051003,soil-to-fertilizer,3177600916
214008036,3177600916,fertilizer-to-water,4134908841
214008036,4134908841,water-to-light,3948567986
214008036,3948567986,light-to-temperature,3518471312
214008036,3518471312,temperature-to-humidity,4069998419
214008036,4069998419,humidity-to-location,3270099765
4054174000,4054174000,seed-to-soil,3477010674
4054174000,3477010674,soil-to-fertilizer,633157963
4054174000,633157963,fertilizer-to-water,1290771210
4054174000,1290771210,water-to-light,1699462876
4054174000,1699462876,light-to-temperature,743667510
4054174000,743667510,temperature-to-humidity,633691295
4054174000,633691295,humidity-to-location,633691295
171202266,171202266,seed-to-soil,1387219319
171202266,1387219319,soil-to-fertilizer,1132254767
171202266,1132254767,fertilizer-to-water,328061834
171202266,328061834,water-to-light,382249202
171202266,382249202,light-to-temperature,1250576900
171202266,1250576900,temperature-to-humidity,599228632
171202266,599228632,humidity-to-location,235972814
3630057255,3630057255,seed-to-soil,4262807116
3630057255,4262807116,soil-to-fertilizer,3975611236
3630057255,3975611236,fertilizer-to-water,3915196903
3630057255,3915196903,water-to-light,2972527449
3630057255,2972527449,light-to-temperature,3022859860
3630057255,3022859860,temperature-to-humidity,3249686305
3630057255,3249686305,humidity-to-location,3827359985
25954395,25954395,seed-to-soil,1813817778
25954395,1813817778,soil-to-fertilizer,3532462574
25954395,3532462574,fertilizer-to-water,3729602207
25954395,3729602207,water-to-light,3543558628
25954395,3543558628,light-to-temperature,2270862449
25954395,2270862449,temperature-to-humidity,2270862449
25954395,2270862449,humidity-to-location,2918856711
798587440,798587440,seed-to-soil,98162531
798587440,98162531,soil-to-fertilizer,953223806
798587440,953223806,fertilizer-to-water,650239434
798587440,650239434,water-to-light,1004370701
798587440,1004370701,light-to-temperature,1938727255
798587440,1938727255,temperature-to-humidity,1938727255
798587440,1938727255,humidity-to-location,2586721517
316327323,316327323,seed-to-soil,1848155662
316327323,1848155662,soil-to-fertilizer,3566800458
316327323,3566800458,fertilizer-to-water,3481370212
316327323,3481370212,water-to-light,4075286871
316327323,4075286871,light-to-temperature,3662924562
316327323,3662924562,temperature-to-humidity,4214451669
316327323,4214451669,humidity-to-location,3414553015
290129780,290129780,seed-to-soil,1821958119
290129780,1821958119,soil-to-fertilizer,3540602915
290129780,3540602915,fertilizer-to-water,3737742548
