seed,seed-to-soil,soil-to-fertilizer,fertilizer-to-water,water-to-light,light-to-temperature,temperature-to-humidity,humidity-to-location
1778931867,2319911431,1550494963,1474037451,2442003270,4140333923,3749439701,3527214727
1436999653,856806968,1008503503,705519131,1059650398,8064348,329844079,411334602
3684516104,2970257118,1404953289,1168313229,1577004895,621209529,1162581582,1846863896
2759374,1790622757,3509267553,4282464734,4282464734,2654646198,2654646198,1011130144
1192793053,300106806,2220852473,2240569122,700766684,323998437,83692320,107430936
358764985,1890593324,1294674481,1058034421,1466726087,1459840978,1459840978,2144123292
1698790056,2239769620,2896905229,960393738,1369085404,1346192317,1346192317,2030474631
76369598,641035495,1773372929,1696915417,478028817,1571811661,1571811661,2256093975
3733854793,3858979415,4123129993,4032046578,3845705723,4224175054,3833280832,905605726
214008036,2503051003,3177600916,4134908841,3948567986,3518471312,4069998419,3270099765
4054174000,3477010674,633157963,1290771210,1699462876,743667510,633691295,633691295
171202266,1387219319,1132254767,328061834,382249202,1250576900,599228632,235972814
3630057255,4262807116,3975611236,3915196903,2972527449,3022859860,3249686305,3827359985
25954395,1813817778,3532462574,3729602207,3543558628,2270862449,2270862449,2918856711
798587440,98162531,953223806,650239434,1004370701,1938727255,1938727255,2586721517
316327323,1848155662,3566800458,3481370212,4075286871,3662924562,4214451669,3414553015
290129780,1821958119,3540602915,3737742548,3551698969,2279002790,2279002790,2926997052
7039123,1794902506,3513547302,4286744483,4286744483,2658925947,2658925947,1015409893
3334326492,3719908868,3719908868,3296622981,3296920257,3563569227,4115096334,3315197680
246125391,2535168358,3209718271,4167026196,4167026196,3754663887,2840434858,3101317175
