Hand,Bid,Type,Type Sort,Hand Tuple,Hand Sort,Rank,Winnings
23T9K,678,HC,6,"('2', '3', 'T', '9', 'K')","(12, 11, 4, 5, 1)",1,678
24937,575,HC,6,"('2', '4', '9', '3', '7')","(12, 10, 5, 11, 7)",2,1150
25469,721,HC,6,"('2', '5', '4', '6', '9')","(12, 9, 10, 8, 5)",3,2163
25K8J,441,HC,6,"('2', '5', 'K', '8', 'J')","(12, 9, 1, 6, 3)",4,1764
26KQT,978,HC,6,"('2', '6', 'K', 'Q', 'T')","(12, 8, 1, 2, 4)",5,4890
27598,169,HC,6,"('2', '7', '5', '9', '8')","(12, 7, 9, 5, 6)",6,1014
2835Q,309,HC,6,"('2', '8', '3', '5', 'Q')","(12, 6, 11, 9, 2)",7,2163
285AK,196,HC,6,"('2', '8', '5', 'A', 'K')","(12, 6, 9, 0, 1)",8,1568
28QA6,326,HC,6,"('2', '8', 'Q', 'A', '6')","(12, 6, 2, 0, 8)",9,2934
2J8T3,940,HC,6,"('2', 'J', '8', 'T', '3')","(12, 3, 6, 4, 11)",10,9400
2K59J,68,HC,6,"('2', 'K', '5', '9', 'J')","(12, 1, 9, 5, 3)",11,748
2KQ83,33,HC,6,"('2', 'K', 'Q', '8', '3')","(12, 1, 2, 6, 11)",12,396
325Q6,422,HC,6,"('3', '2', '5', 'Q', '6')","(11, 12, 9, 2, 8)",13,5486
327Q6,875,HC,6,"('3', '2', '7', 'Q', '6')","(11, 12, 7, 2, 8)",14,12250
37J94,657,HC,6,"('3', '7', 'J', '9', '4')","(11, 7, 3, 5, 10)",15,9855
37Q89,342,HC,6,"('3', '7', 'Q', '8', '9')","(11, 7, 2, 6, 5)",16,5472
38245,863,HC,6,"('3', '8', '2', '4', '5')","(11, 6, 12, 10, 9)",17,14671
3846T,375,HC,6,"('3', '8', '4', '6', 'T')","(11, 6, 10, 8, 4)",18,6750
3Q279,682,HC,6,"('3', 'Q', '2', '7', '9')","(11, 2, 12, 7, 5)",19,12958
3KJ72,919,HC,6,"('3', 'K', 'J', '7', '2')","(11, 1, 3, 7, 12)",20,18380
3KJQ9,796,HC,6,"('3', 'K', 'J', 'Q', '9')","(11, 1, 3, 2, 5)",21,16716
3A6K5,49,HC,6,"('3', 'A', '6', 'K', '5')","(11, 0, 8, 1, 9)",22,1078
426K5,5,HC,6,"('4', '2', '6', 'K', '5')","(10, 12, 8, 1, 9)",23,115
42A9J,473,HC,6,"('4', '2', 'A', '9', 'J')","(10, 12, 0, 5, 3)",24,11352
452T7,277,HC,6,"('4', '5', '2', 'T', '7')","(10, 9, 12, 4, 7)",25,6925
459K2,463,HC,6,"('4', '5', '9', 'K', '2')","(10, 9, 5, 1, 12)",26,12038
46TJK,953,HC,6,"('4', '6', 'T', 'J', 'K')","(10, 8, 4, 3, 1)",27,25731
47T36,261,HC,6,"('4', '7', 'T', '3', '6')","(10, 7, 4, 11, 8)",28,7308
4823J,125,HC,6,"('4', '8', '2', '3', 'J')","(10, 6, 12, 11, 3)",29,3625
486TK,358,HC,6,"('4', '8', '6', 'T', 'K')","(10, 6, 8, 4, 1)",30,10740
49KQT,419,HC,6,"('4', '9', 'K', 'Q', 'T')","(10, 5, 1, 2, 4)",31,12989
4T672,880,HC,6,"('4', 'T', '6', '7', '2')","(10, 4, 8, 7, 12)",32,28160
4J3T9,632,HC,6,"('4', 'J', '3', 'T', '9')","(10, 3, 11, 4, 5)",33,20856
4J5TA,131,HC,6,"('4', 'J', '5', 'T', 'A')","(10, 3, 9, 4, 0)",34,4454
4Q89A,78,HC,6,"('4', 'Q', '8', '9', 'A')","(10, 2, 6, 5, 0)",35,2730
4K6Q2,413,HC,6,"('4', 'K', '6', 'Q', '2')","(10, 1, 8, 2, 12)",36,14868
4A235,394,HC,6,"('4', 'A', '2', '3', '5')","(10, 0, 12, 11, 9)",37,14578
4A735,791,HC,6,"('4', 'A', '7', '3', '5')","(10, 0, 7, 11, 9)",38,30058
527KT,765,HC,6,"('5', '2', '7', 'K', 'T')","(9, 12, 7, 1, 4)",39,29835
5384K,989,HC,6,"('5', '3', '8', '4', 'K')","(9, 11, 6, 10, 1)",40,39560
53TA4,453,HC,6,"('5', '3', 'T', 'A', '4')","(9, 11, 4, 0, 10)",41,18573
53A4K,246,HC,6,"('5', '3', 'A', '4', 'K')","(9, 11, 0, 10, 1)",42,10332
5643T,157,HC,6,"('5', '6', '4', '3', 'T')","(9, 8, 10, 11, 4)",43,6751
56J28,598,HC,6,"('5', '6', 'J', '2', '8')","(9, 8, 3, 12, 6)",44,26312
56JK7,667,HC,6,"('5', '6', 'J', 'K', '7')","(9, 8, 3, 1, 7)",45,30015
576TA,76,HC,6,"('5', '7', '6', 'T', 'A')","(9, 7, 8, 4, 0)",46,3496
5827T,665,HC,6,"('5', '8', '2', '7', 'T')","(9, 6, 12, 7, 4)",47,31255
58J29,935,HC,6,"('5', '8', 'J', '2', '9')","(9, 6, 3, 12, 5)",48,44880
58AJ2,753,HC,6,"('5', '8', 'A', 'J', '2')","(9, 6, 0, 3, 12)",49,36897
592KQ,493,HC,6,"('5', '9', '2', 'K', 'Q')","(9, 5, 12, 1, 2)",50,24650
59QJ2,416,HC,6,"('5', '9', 'Q', 'J', '2')","(9, 5, 2, 3, 12)",51,21216
59AQ6,285,HC,6,"('5', '9', 'A', 'Q', '6')","(9, 5, 0, 2, 8)",52,14820
5T432,877,HC,6,"('5', 'T', '4', '3', '2')","(9, 4, 10, 11, 12)",53,46481
5J947,955,HC,6,"('5', 'J', '9', '4', '7')","(9, 3, 5, 10, 7)",54,51570
5J96T,280,HC,6,"('5', 'J', '9', '6', 'T')","(9, 3, 5, 8, 4)",55,15400
5A6TK,156,HC,6,"('5', 'A', '6', 'T', 'K')","(9, 0, 8, 4, 1)",56,8736
62J8K,976,HC,6,"('6', '2', 'J', '8', 'K')","(8, 12, 3, 6, 1)",57,55632
62JKT,815,HC,6,"('6', '2', 'J', 'K', 'T')","(8, 12, 3, 1, 4)",58,47270
63982,913,HC,6,"('6', '3', '9', '8', '2')","(8, 11, 5, 6, 12)",59,53867
64K82,238,HC,6,"('6', '4', 'K', '8', '2')","(8, 10, 1, 6, 12)",60,14280
6549J,525,HC,6,"('6', '5', '4', '9', 'J')","(8, 9, 10, 5, 3)",61,32025
6593Q,6,HC,6,"('6', '5', '9', '3', 'Q')","(8, 9, 5, 11, 2)",62,372
65JK4,510,HC,6,"('6', '5', 'J', 'K', '4')","(8, 9, 3, 1, 10)",63,32130
65JKT,377,HC,6,"('6', '5', 'J', 'K', 'T')","(8, 9, 3, 1, 4)",64,24128
672KJ,480,HC,6,"('6', '7', '2', 'K', 'J')","(8, 7, 12, 1, 3)",65,31200
67QT9,374,HC,6,"('6', '7', 'Q', 'T', '9')","(8, 7, 2, 4, 5)",66,24684
