Next
"['VVM', 'VVM']"
"['DQG', 'CMF']"
"['TKM', 'FPB']"
"['HDC', 'NFB']"
"['MQB', 'XFB']"
"['CTR', 'NXS']"
"['VHG', 'LJV']"
"['CKR', 'VBF']"
"['JVC', 'NSS']"
"['MVP', 'QFC']"
"['SHF', 'XMN']"
"['QNC', 'JMC']"
"['QCR', 'VFT']"
"['DSM', 'RCD']"
"['KPL', 'CRR']"
"['LDR', 'LFR']"
"['MGM', 'GFQ']"
"['GLV', 'TSS']"
"['VDS', 'LGB']"
"['RJP', 'DTM']"
"['MFK', 'PCV']"
"['BTX', 'VPC']"
"['NBR', 'DRD']"
"['TRQ', 'LTT']"
"['VPQ', 'SQB']"
"['QBK', 'LCH']"
"['KJL', 'SJC']"
"['TFS', 'XMR']"
"['FVS', 'VDC']"
"['DHQ', 'PDG']"
"['KLF', 'QJL']"
"['CPP', 'JJT']"
"['RFM', 'KCX']"
"['PNN', 'HPG']"
"['BQM', 'RKF']"
"['BMD', 'GVK']"
"['JXR', 'SPJ']"
"['QVV', 'GTM']"
"['NRH', 'JCX']"
"['CJM', 'KHS']"
"['BJC', 'GTN']"
"['KHH', 'TSX']"
"['TPF', 'HBM']"
"['VFD', 'MNF']"
"['HTS', 'FLR']"
"['XLX', 'GDL']"
"['PJC', 'KBT']"
"['MFC', 'FQN']"
"['TMB', 'JPF']"
"['FSQ', 'MQS']"
"['TPF', 'HBM']"
"['LNV', 'LNT']"
"['XXG', 'MRB']"
"['DMF', 'VXS']"
"['VSF', 'PRK']"
"['QFC', 'MVP']"
"['GDL', 'XLX']"
"['LNR', 'XBR']"
"['QKC', 'SPG']"
"['HQR', 'GQK']"
"['TVL', 'XDZ']"
"['SJC', 'KJL']"
"['LLL', 'XHB']"
"['NNN', 'LSM']"
"['THC', 'TQH']"
"['DDR', 'VSX']"
"['DPG', 'DBV']"
"['SNH', 'VDP']"
"['KVS', 'CLH']"
"['JXV', 'VFJ']"
"['XHG', 'PNJ']"
"['BBF', 'DVJ']"
"['KHH', 'TSX']"
"['DHM', 'VHR']"
"['NJF', 'VCK']"
"['VPV', 'RFH']"
"['BMK', 'XSS']"
"['KMH', 'DKD']"
"['SSB', 'SFG']"
"['TQV', 'JDH']"
"['FNL', 'VNQ']"
"['NVD', 'GQR']"
"['HTH', 'FXL']"
"['LFP', 'FQF']"
"['GDS', 'FDL']"
"['NBM', 'XFJ']"
"['PPP', 'HKP']"
"['MBS', 'BVX']"
"['DXG', 'XTB']"
"['TST', 'TPD']"
"['BFK', 'TPB']"
"['MBD', 'KBS']"
"['GLT', 'MNK']"
"['PMT', 'JDT']"
"['FVS', 'VDC']"
"['TQG', 'KVP']"
"['GQN', 'VMF']"
